filename,label
5_0.png,5
0_1.png,0
4_2.png,4
1_3.png,1
9_4.png,9
2_5.png,2
1_6.png,1
3_7.png,3
1_8.png,1
4_9.png,4
3_10.png,3
5_11.png,5
3_12.png,3
6_13.png,6
1_14.png,1
7_15.png,7
2_16.png,2
8_17.png,8
6_18.png,6
9_19.png,9
4_20.png,4
0_21.png,0
9_22.png,9
1_23.png,1
1_24.png,1
2_25.png,2
4_26.png,4
3_27.png,3
2_28.png,2
7_29.png,7
3_30.png,3
8_31.png,8
6_32.png,6
9_33.png,9
0_34.png,0
5_35.png,5
6_36.png,6
0_37.png,0
7_38.png,7
6_39.png,6
1_40.png,1
8_41.png,8
7_42.png,7
9_43.png,9
3_44.png,3
9_45.png,9
8_46.png,8
5_47.png,5
9_48.png,9
3_49.png,3
3_50.png,3
0_51.png,0
7_52.png,7
4_53.png,4
9_54.png,9
8_55.png,8
0_56.png,0
9_57.png,9
4_58.png,4
1_59.png,1
4_60.png,4
4_61.png,4
6_62.png,6
0_63.png,0
4_64.png,4
5_65.png,5
6_66.png,6
1_67.png,1
0_68.png,0
0_69.png,0
1_70.png,1
7_71.png,7
1_72.png,1
6_73.png,6
3_74.png,3
0_75.png,0
2_76.png,2
1_77.png,1
1_78.png,1
7_79.png,7
9_80.png,9
0_81.png,0
2_82.png,2
6_83.png,6
7_84.png,7
8_85.png,8
3_86.png,3
9_87.png,9
0_88.png,0
4_89.png,4
6_90.png,6
7_91.png,7
4_92.png,4
6_93.png,6
8_94.png,8
0_95.png,0
7_96.png,7
8_97.png,8
3_98.png,3
1_99.png,1
5_100.png,5
7_101.png,7
1_102.png,1
7_103.png,7
1_104.png,1
1_105.png,1
6_106.png,6
3_107.png,3
0_108.png,0
2_109.png,2
9_110.png,9
3_111.png,3
1_112.png,1
1_113.png,1
0_114.png,0
4_115.png,4
9_116.png,9
2_117.png,2
0_118.png,0
0_119.png,0
2_120.png,2
0_121.png,0
2_122.png,2
7_123.png,7
1_124.png,1
8_125.png,8
6_126.png,6
4_127.png,4
1_128.png,1
6_129.png,6
3_130.png,3
4_131.png,4
5_132.png,5
9_133.png,9
1_134.png,1
3_135.png,3
3_136.png,3
8_137.png,8
5_138.png,5
4_139.png,4
7_140.png,7
7_141.png,7
4_142.png,4
2_143.png,2
8_144.png,8
5_145.png,5
8_146.png,8
6_147.png,6
7_148.png,7
3_149.png,3
4_150.png,4
6_151.png,6
1_152.png,1
9_153.png,9
9_154.png,9
6_155.png,6
0_156.png,0
3_157.png,3
7_158.png,7
2_159.png,2
8_160.png,8
2_161.png,2
9_162.png,9
4_163.png,4
4_164.png,4
6_165.png,6
4_166.png,4
9_167.png,9
7_168.png,7
0_169.png,0
9_170.png,9
2_171.png,2
9_172.png,9
5_173.png,5
1_174.png,1
5_175.png,5
9_176.png,9
1_177.png,1
2_178.png,2
3_179.png,3
2_180.png,2
3_181.png,3
5_182.png,5
9_183.png,9
1_184.png,1
7_185.png,7
6_186.png,6
2_187.png,2
8_188.png,8
2_189.png,2
2_190.png,2
5_191.png,5
